noise_1_channel	noise_2_channel	noise_3_channel	noise_4_channel	amp_channel	trig_channel
30174	1	1	-19	28	1115
-32767	1	-18	-19	47	9392
32767	1	-18	0	28	3020
-32767	-18	1	-19	9	6564
32767	1	-18	-19	47	6206
-32767	-18	-18	-19	28	3736
7681	1	-18	0	-10	8412
-8302	1	-18	0	65	2133
-23002	1	-18	-19	28	9731
18154	1	-18	-19	28	1134
-32767	1	-18	-19	28	10014
32767	1	-18	-19	9	1756
-32767	1	-18	-19	28	8072
32767	1	-18	0	9	4641
-32767	1	-18	-19	65	4980
21984	-18	1	0	28	7431
-21304	1	-18	-19	65	2831
-8170	1	1	-19	47	9204
5039	1	1	-19	65	1492
-32767	1	-18	-19	47	10033
30646	1	-18	-19	28	1115
-32767	20	1	-19	28	9373
32767	1	-18	-19	28	3001
-32767	-18	-18	-19	47	6432
32767	-18	-18	-19	65	6168
-32767	1	-18	-19	47	3774
7398	1	-18	-19	28	8449
-8000	1	-18	-19	-10	2077
-23304	-18	-18	-19	9	9713
18324	1	-18	-19	9	1097
-32767	1	-18	-19	47	10052
32767	1	-18	0	28	1738
-32767	1	1	-19	47	8016
32767	1	-18	-19	9	4773
-32767	20	-18	-19	28	5037
21890	1	1	-19	47	7469
-21021	1	-18	-19	28	2793
-8208	1	1	-19	9	9185
5209	20	-18	-19	47	1530
-32767	1	-18	-19	47	10090
30514	20	-18	-19	47	1078
-32767	1	-18	-19	47	9354
32767	1	-18	0	28	3057
-32767	1	-18	-19	9	6507
32767	1	-18	-19	47	6149
-32767	1	-18	-19	47	3736
7285	1	-18	0	28	8468
-8095	1	-18	-19	47	2096
-23323	1	-18	0	9	9694
18248	1	1	-19	65	1115
-32767	-18	-18	-19	28	10052
32767	1	-18	-19	47	1832
-32767	1	-18	-19	47	8016
32767	1	-18	0	47	4603
-32767	1	-18	-19	28	4962
21947	1	-18	-19	47	7450
-21134	-18	-18	-19	28	2869
-7963	1	-18	-19	47	9185
4907	20	-18	-38	47	1511
-32767	1	-18	-19	28	10033
30457	1	1	-19	47	1078
-32767	1	-18	-19	28	9336
32767	1	-18	-19	9	3020
-32767	1	-18	-19	65	6545
32767	1	-18	-19	47	6225
-32767	1	-18	-19	47	3830
7870	1	-18	-19	47	8355
-8264	1	1	-19	28	2058
-22889	1	-18	-19	28	9675
17908	1	-18	-19	28	1134
-32767	1	1	-19	47	10071
32767	1	-18	0	9	1756
-32767	1	-18	-19	47	8110
32767	1	-18	0	28	4660
-32767	1	-18	-19	47	4999
22324	-18	-18	-19	28	7431
-21530	1	-18	-19	28	2812
-7566	1	-37	-19	47	9166
4756	1	-18	-19	28	1549
-32767	1	-18	-19	84	10052
30080	20	1	-19	-10	1059
