noise_1_channel,noise_2_channel,noise_3_channel,noise_4_channel,amp_channel,trig_channel
23494,-18,-18,-19,28,946
-32767,-18,1,-19,9,9901
32767,-18,-18,-19,9,2341
-32767,-18,-18,0,47,7186
32767,-18,-18,-19,28,5527
-32767,1,-18,-19,9,4170
16097,1,-18,-19,28,8167
-16548,1,-18,-19,28,2247
-14944,-18,-18,0,9,9562
10398,-18,-18,-19,28,1210
-32767,-18,1,-19,28,10222
32767,-18,1,-19,28,1210
-32767,-18,1,0,47,8770
32767,-18,1,0,28,3868
-32767,-18,1,-19,47,5621
29438,-18,1,-19,47,7035
-29644,-18,-18,-19,28,3038
831,-18,1,0,47,8958
-3151,-18,1,-19,47,1643
-29210,-18,1,-19,28,9995
23551,1,-18,-19,28,946
-32767,-18,1,-19,28,9863
32767,1,-18,0,28,2322
-32767,1,-18,0,47,7243
32767,-18,-18,0,9,5489
-32767,-18,-18,0,28,4151
16116,-18,-18,0,47,8110
-16605,-18,-18,0,28,2247
-14793,-18,1,-19,47,9581
10455,1,-18,0,28,1172
-32767,1,-18,0,47,10165
32767,-18,1,-19,9,1247
-32767,-18,1,0,9,8789
32767,1,1,-19,9,3849
-32767,-18,1,0,9,5603
29532,1,1,0,28,7035
-29531,-18,1,-19,47,3095
793,1,1,0,28,8996
-3245,1,1,0,28,1662
-29267,-18,-18,-19,28,9995
23513,1,1,-19,47,965
-32767,1,1,0,28,9882
32767,-18,1,0,28,2228
-32767,1,1,0,28,7205
32767,-18,-18,-19,65,5546
-32767,1,1,-19,9,4170
16059,-18,1,-19,47,8167
-16586,-18,1,-19,28,2265
-14888,1,1,0,28,9581
10492,-18,-18,0,65,1247
-32767,-18,19,0,28,10203
